0.0323165           0           0
0.0969496           0           0
0.161583           0           0
0.226216           0           0
0.290849           0           0
0.355482           0           0
0.420115           0           0
0.484748           0           0
0.549381           0           0
0.614014           0           0
0.678647           0           0
0.74328           0           0
0.807913           0           0
0.872546  0.00250295 0.000831104
0.937179    0.201671  0.00969924
1.00181      1.3404    0.031905
1.06645     2.38054   0.0468784
1.13108     2.43255   0.0558614
1.19571     2.19094   0.0378493
1.26034     1.94599   0.0366198
1.32498     1.67877   0.0312616
1.38961     1.49611   0.0296904
1.45424     1.32539   0.0246978
1.51888     1.25457   0.0211175
1.58351     1.22249   0.0227303
1.64814     1.19289   0.0208432
1.71278     1.14148   0.0174947
1.77741      1.1414   0.0177654
1.84204     1.13926   0.0173729
1.90667     1.10502   0.0164766
1.97131     1.09577    0.015984
2.03594     1.09509   0.0153675
2.10057     1.06279    0.015358
2.16521     1.07759   0.0147487
2.22984     1.04696   0.0145511
2.29447     1.04177   0.0142712
2.35911     1.04679   0.0147508
2.42374     1.03997   0.0128685
2.48837     1.01662   0.0127263
2.55301     1.03192   0.0127303
2.61764     1.02038   0.0115186
2.68227     1.02762    0.011097
2.7469     1.01542   0.0111836
2.81154     1.01737    0.011572
2.87617     1.01594   0.0102513
2.9408     1.03013    0.010047
3.00544     1.02896   0.0105635
3.07007     1.02957  0.00905841
3.1347     1.02613  0.00928063
3.19934     1.02518  0.00908717
3.26397     1.01661  0.00991112
3.3286     1.01281   0.0096873
3.39323      1.0154   0.0095867
3.45787    0.993778  0.00895445
3.5225    0.999878  0.00854216
3.58713     1.00473  0.00985361
3.65177    0.991939  0.00941642
3.7164    0.997687  0.00799001
3.78103    0.989637  0.00773414
3.84567      1.0015  0.00732452
3.9103     1.00666  0.00781706
3.97493    0.997484  0.00783479
4.03957      1.0021  0.00738467
4.1042     1.00597  0.00786895
4.16883     1.00153  0.00779759
4.23346    0.994334  0.00840441
4.2981    0.987643  0.00726163
4.36273    0.984991  0.00729187
4.42736    0.987321  0.00721167
4.492    0.987501  0.00709626
4.55663    0.983162  0.00778959
4.62126    0.994484  0.00603164
4.6859    0.987897  0.00647981
4.75053    0.998169  0.00646895
4.81516    0.994841  0.00538065
4.87979    0.992796  0.00640627
4.94443    0.987884  0.00602402
5.00906    0.994312   0.0055899
5.07369    0.995665  0.00528446
5.13833     0.99902  0.00602062
5.20296     1.00123  0.00631462
5.26759    0.990838  0.00576677
5.33223    0.989108  0.00479096
5.39686    0.998938  0.00538425
5.46149     1.00308  0.00568845
5.52612    0.991978  0.00505899
5.59076    0.986987  0.00554686
5.65539    0.993974   0.0048873
5.72002    0.991057  0.00531986
5.78466    0.991966  0.00551759
5.84929    0.993009  0.00513662
5.91392    0.992112  0.00485019
5.97856     0.99451  0.00485062
6.04319    0.997812  0.00435634
6.10782    0.996249  0.00409582
6.17246    0.990478  0.00462079
6.23709    0.987346  0.00432531
6.30172    0.995912  0.00476741
6.36635    0.995701  0.00489563
6.43099    0.996272  0.00487699
